tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,titleId,title,isOriginalTitle,averageRating,numVotes,nconst,category,primaryName
tt0010307,movie,J'accuse!,J'accuse,1919.0,166.0,"Drama,Horror,War",tt0010307,J'accuse,0,7.7,1887,nm0304098,director,Abel Gance
tt0014417,movie,The Wheel,La roue,1923.0,417.0,Drama,tt0014417,La roue,0,7.5,2391,nm0304098,director,Abel Gance
tt0018192,movie,Napoleon,Napoléon vu par Abel Gance,1927.0,330.0,"Biography,Drama,History",tt0018192,Napoléon,0,8.2,8099,nm0304098,director,Abel Gance
tt0002130,movie,Dante's Inferno,L'Inferno,1911.0,71.0,"Adventure,Drama,Fantasy",tt0002130,L'enfer,0,7.0,3111,nm0078205,director,Francesco Bertolini
tt0013750,movie,When Knighthood Was in Flower,When Knighthood Was in Flower,1922.0,120.0,"Drama,Romance",tt0013750,Sur les marches d'un trône,0,6.6,1087,nm0897085,director,Robert G. Vignola
tt0009893,movie,The Oyster Princess,Die Austernprinzessin,1919.0,60.0,Comedy,tt0009893,Miss Milliard,0,7.2,2069,nm0523932,director,Ernst Lubitsch
tt0010281,movie,I Don't Want to Be a Man,Ich möchte kein Mann sein,1918.0,45.0,"Comedy,Romance",tt0010281,Je ne voudrais pas être un homme,0,6.8,1540,nm0523932,director,Ernst Lubitsch
tt0010600,movie,The Doll,Die Puppe,1919.0,66.0,"Comedy,Fantasy,Sci-Fi",tt0010600,La poupée,0,7.4,2209,nm0523932,director,Ernst Lubitsch
tt0011960,movie,The Wildcat,Die Bergkatze,1921.0,79.0,"Comedy,Drama,Romance",tt0011960,La chatte des montagne,0,6.9,1240,nm0523932,director,Ernst Lubitsch
tt0015119,movie,The Marriage Circle,The Marriage Circle,1924.0,85.0,Comedy,tt0015119,Comédiennes,0,7.1,1394,nm0523932,director,Ernst Lubitsch
tt0016004,movie,Lady Windermere's Fan,Lady Windermere's Fan,1925.0,120.0,Comedy,tt0016004,L'éventail de Lady Windermere,0,7.2,1220,nm0523932,director,Ernst Lubitsch
tt0018451,movie,The Student Prince in Old Heidelberg,The Student Prince in Old Heidelberg,1927.0,106.0,"Drama,Romance",tt0018451,Vieil Heidelberg,0,7.6,1558,nm0523932,director,Ernst Lubitsch
tt0020112,movie,The Love Parade,The Love Parade,1929.0,107.0,"Comedy,Musical,Romance",tt0020112,Parade d'amour,0,7.0,2462,nm0523932,director,Ernst Lubitsch
tt0021153,movie,Monte Carlo,Monte Carlo,1930.0,90.0,"Comedy,Musical,Romance",tt0021153,Monte-Carlo,0,6.7,1370,nm0523932,director,Ernst Lubitsch
tt0022074,movie,The Smiling Lieutenant,The Smiling Lieutenant,1931.0,93.0,"Comedy,Musical,Romance",tt0022074,Le lieutenant souriant,0,7.2,3921,nm0523932,director,Ernst Lubitsch
tt0022725,movie,Broken Lullaby,Broken Lullaby,1932.0,76.0,Drama,tt0022725,L'homme que j'ai tué,0,7.6,1255,nm0523932,director,Ernst Lubitsch
tt0023049,movie,If I Had a Million,If I Had a Million,1932.0,88.0,"Comedy,Drama",tt0023049,Si j'avais un million,0,7.0,1936,nm0523932,director,Ernst Lubitsch
tt0023303,movie,One Hour with You,One Hour with You,1932.0,78.0,"Comedy,Musical,Romance",tt0023303,Une heure près de toi,0,7.1,2691,nm0523932,director,Ernst Lubitsch
tt0023622,movie,Trouble in Paradise,Trouble in Paradise,1932.0,83.0,"Comedy,Crime,Romance",tt0023622,Haute pègre,0,8.0,15317,nm0523932,director,Ernst Lubitsch
tt0023940,movie,Design for Living,Design for Living,1933.0,91.0,"Comedy,Music,Mystery",tt0023940,Sérénade à trois,0,7.4,7164,nm0523932,director,Ernst Lubitsch
tt0025493,movie,The Merry Widow,The Merry Widow,1934.0,99.0,"Comedy,Musical,Romance",tt0025493,La veuve joyeuse,0,7.2,3064,nm0523932,director,Ernst Lubitsch
tt0028575,movie,Angel,Angel,1937.0,91.0,"Comedy,Drama,Romance",tt0028575,Ange,0,7.2,3000,nm0523932,director,Ernst Lubitsch
tt0029929,movie,Bluebeard's Eighth Wife,Bluebeard's Eighth Wife,1938.0,85.0,"Comedy,Romance",tt0029929,La huitième femme de Barbe-bleue,0,7.2,4241,nm0523932,director,Ernst Lubitsch
tt0031725,movie,Ninotchka,Ninotchka,1939.0,110.0,"Comedy,Romance",tt0031725,Ninotchka,0,7.8,21737,nm0523932,director,Ernst Lubitsch
tt0033045,movie,The Shop Around the Corner,The Shop Around the Corner,1940.0,99.0,"Comedy,Drama,Romance",tt0033045,Rendez-vous,0,8.0,35228,nm0523932,director,Ernst Lubitsch
tt0034274,movie,That Uncertain Feeling,That Uncertain Feeling,1941.0,84.0,Comedy,tt0034274,Illusions perdues,0,6.6,2834,nm0523932,director,Ernst Lubitsch
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,1942.0,99.0,"Comedy,Romance,War",tt0035446,Jeu dangereux,0,8.2,39204,nm0523932,director,Ernst Lubitsch
tt0035979,movie,Heaven Can Wait,Heaven Can Wait,1943.0,112.0,"Comedy,Drama,Fantasy",tt0035979,Le ciel peut attendre,0,7.4,11715,nm0523932,director,Ernst Lubitsch
tt0038040,movie,A Royal Scandal,A Royal Scandal,1945.0,94.0,"Comedy,Drama,History",tt0038040,Scandale à la cour,0,6.7,1146,nm0523932,director,Ernst Lubitsch
tt0038419,movie,Cluny Brown,Cluny Brown,1946.0,100.0,"Comedy,Romance,War",tt0038419,La folle ingénue,0,7.4,3839,nm0523932,director,Ernst Lubitsch
tt0014972,movie,He Who Gets Slapped,He Who Gets Slapped,1924.0,95.0,"Drama,Romance,Thriller",tt0014972,Larmes de clown,0,7.8,4013,nm0803705,director,Victor Sjöström
tt0017350,movie,The Scarlet Letter,The Scarlet Letter,1926.0,115.0,Drama,tt0017350,La lettre écarlate,0,7.6,1874,nm0803705,director,Victor Sjöström
tt0019585,movie,The Wind,The Wind,1928.0,95.0,"Drama,Romance,Thriller",tt0019585,Le vent,0,8.0,6865,nm0803705,director,Victor Sjöström
tt0010247,movie,Sir Arne's Treasure,Herr Arnes pengar,1919.0,122.0,"Drama,History",tt0010247,Le trésor d'Arne,0,7.1,1481,nm0830249,director,Mauritz Stiller
tt0014109,movie,The Saga of Gösta Berling,Gösta Berlings saga,1924.0,183.0,"Drama,Romance",tt0014109,La légende de Gösta Berling,0,7.0,1318,nm0830249,director,Mauritz Stiller
tt0017449,movie,The Temptress,The Temptress,1926.0,62.0,"Drama,Romance",tt0017449,La tentatrice,0,6.9,1286,nm0830249,director,Mauritz Stiller
tt0022735,movie,The Cabin in the Cotton,The Cabin in the Cotton,1932.0,78.0,Drama,tt0022735,Ombres vers le Sud,0,6.7,1746,nm0002031,director,Michael Curtiz
tt0022827,movie,Doctor X,Doctor X,1932.0,76.0,"Comedy,Crime,Horror",tt0022827,Docteur X,0,6.4,3733,nm0002031,director,Michael Curtiz
tt0023731,movie,"20, 000 Years in Sing Sing","20,000 Years in Sing Sing",1932.0,78.0,"Crime,Drama,Film-Noir",tt0023731,Vingt mille ans sous les verrous,0,6.8,2824,nm0002031,director,Michael Curtiz
tt0024008,movie,Female,Female,1933.0,60.0,"Comedy,Drama,Music",tt0024008,Female,0,6.7,1755,nm0002031,director,Michael Curtiz
tt0024210,movie,The Kennel Murder Case,The Kennel Murder Case,1933.0,73.0,"Crime,Drama,Mystery",tt0024210,Meurtre au chenil,0,6.9,3709,nm0002031,director,Michael Curtiz
tt0024314,movie,The Mayor of Hell,The Mayor of Hell,1933.0,90.0,"Crime,Drama,Romance",tt0024314,Le Bataillon des sans-amour,0,6.9,1729,nm0002031,director,Michael Curtiz
tt0024368,movie,Mystery of the Wax Museum,Mystery of the Wax Museum,1933.0,77.0,"Horror,Mystery,Thriller",tt0024368,Masques de cire,0,6.8,6122,nm0002031,director,Michael Curtiz
tt0026174,movie,Captain Blood,Captain Blood,1935.0,119.0,"Action,Adventure,History",tt0026174,Capitaine Blood,0,7.7,14984,nm0002031,director,Michael Curtiz
tt0026388,movie,Front Page Woman,Front Page Woman,1935.0,82.0,"Comedy,Romance",tt0026388,Sixième édition,0,6.5,1671,nm0002031,director,Michael Curtiz
tt0027300,movie,Anthony Adverse,Anthony Adverse,1936.0,141.0,"Adventure,Drama,Romance",tt0027300,Anthony Adverse,0,6.3,1914,nm0002031,director,Michael Curtiz
tt0027367,movie,Black Legion,Black Legion,1937.0,83.0,"Crime,Drama,Film-Noir",tt0027367,La légion noire,0,6.9,3548,nm0002031,director,Michael Curtiz
tt0027438,movie,The Charge of the Light Brigade,The Charge of the Light Brigade,1936.0,115.0,"Action,Adventure,Romance",tt0027438,La charge fantastique,0,7.0,5231,nm0002031,director,Michael Curtiz
tt0028478,movie,The Walking Dead,The Walking Dead,1936.0,66.0,"Crime,Drama,Horror",tt0028478,Le mort qui marche,0,6.6,2802,nm0002031,director,Michael Curtiz
tt0029080,movie,Kid Galahad,Kid Galahad,1937.0,102.0,"Crime,Drama,Film-Noir",tt0029080,Le dernier round,0,7.2,3760,nm0002031,director,Michael Curtiz
tt0029217,movie,Marked Woman,Marked Woman,1937.0,96.0,"Crime,Film-Noir,Thriller",tt0029217,Femmes marquées,0,7.1,4491,nm0002031,director,Michael Curtiz
tt0029843,movie,The Adventures of Robin Hood,The Adventures of Robin Hood,1938.0,102.0,"Action,Adventure,Romance",tt0029843,Les aventures de Robin des Bois,0,7.9,52492,nm0002031,director,Michael Curtiz
tt0029870,movie,Angels with Dirty Faces,Angels with Dirty Faces,1938.0,97.0,"Crime,Drama,Film-Noir",tt0029870,Les anges aux figures sales,0,7.9,22222,nm0002031,director,Michael Curtiz
tt0030149,movie,Four Daughters,Four Daughters,1938.0,90.0,"Drama,Music,Romance",tt0030149,Rêves de jeunesse,0,6.9,2052,nm0002031,director,Michael Curtiz
tt0030151,movie,Four's a Crowd,Four's a Crowd,1938.0,93.0,"Comedy,Romance",tt0030151,Quatre au paradis,0,6.3,1225,nm0002031,director,Michael Curtiz
tt0031235,movie,Dodge City,Dodge City,1939.0,104.0,"Drama,Western",tt0031235,Les conquérants,0,7.1,5472,nm0002031,director,Michael Curtiz
tt0031826,movie,The Private Lives of Elizabeth and Essex,The Private Lives of Elizabeth and Essex,1939.0,106.0,"Biography,Drama,History",tt0031826,La vie privée d'Elisabeth d'Angleterre,0,7.0,5880,nm0002031,director,Michael Curtiz
tt0033021,movie,Santa Fe Trail,Santa Fe Trail,1940.0,110.0,"War,Western",tt0033021,La Piste de Santa Fé,0,6.2,3982,nm0002031,director,Michael Curtiz
tt0033028,movie,The Sea Hawk,The Sea Hawk,1940.0,127.0,"Action,Adventure,History",tt0033028,L'aigle des mers,0,7.6,10256,nm0002031,director,Michael Curtiz
tt0033226,movie,Virginia City,Virginia City,1940.0,121.0,"Drama,Western",tt0033226,La caravane héroïque,0,6.8,2801,nm0002031,director,Michael Curtiz
tt0033537,movie,Dive Bomber,Dive Bomber,1941.0,132.0,"Drama,Romance,War",tt0033537,Bombardiers en piqué,0,6.5,1939,nm0002031,director,Michael Curtiz
tt0034162,movie,The Sea Wolf,The Sea Wolf,1941.0,100.0,"Adventure,Drama",tt0034162,Le vaisseau fantôme,0,7.5,4157,nm0002031,director,Michael Curtiz
tt0034578,movie,Captains of the Clouds,Captains of the Clouds,1942.0,114.0,"Action,Drama,War",tt0034578,Les chevaliers du ciel,0,6.4,1635,nm0002031,director,Michael Curtiz
tt0034583,movie,Casablanca,Casablanca,1942.0,102.0,"Drama,Romance,War",tt0034583,Casablanca,0,8.5,580250,nm0002031,director,Michael Curtiz
tt0035575,movie,Yankee Doodle Dandy,Yankee Doodle Dandy,1942.0,126.0,"Biography,Drama,Family",tt0035575,La glorieuse parade,0,7.6,16119,nm0002031,director,Michael Curtiz
tt0037166,movie,Passage to Marseille,Passage to Marseille,1944.0,109.0,"Adventure,Drama,Romance",tt0037166,Cap sur Marseille,0,6.8,4699,nm0002031,director,Michael Curtiz
tt0037913,movie,Mildred Pierce,Mildred Pierce,1945.0,111.0,"Crime,Drama,Film-Noir",tt0037913,Le roman de Mildred Pierce,0,7.9,26996,nm0002031,director,Michael Curtiz
tt0038776,movie,Night and Day,Night and Day,1946.0,128.0,"Biography,Drama,Musical",tt0038776,Nuit et jour,0,6.1,2974,nm0002031,director,Michael Curtiz
tt0039566,movie,Life with Father,Life with Father,1947.0,118.0,"Comedy,Family",tt0039566,Mon père et nous,0,7.1,5948,nm0002031,director,Michael Curtiz
tt0039941,movie,The Unsuspected,The Unsuspected,1947.0,103.0,"Drama,Film-Noir,Music",tt0039941,Le crime était presque parfait,0,7.2,3425,nm0002031,director,Michael Curtiz
tt0040745,movie,Romance on the High Seas,Romance on the High Seas,1948.0,99.0,"Comedy,Music,Musical",tt0040745,Romance à Rio,0,7.0,2548,nm0002031,director,Michael Curtiz
